number |     name     |   hex   |      rgb       |      hsl       
90  |DarkMagenta      |#870087  |(135,0,135)     |(300,100,26)
91  |DarkMagenta      |#8700af  |(135,0,175)     |(86,100,34)
92  |DarkViolet       |#8700d7  |(135,0,215)     |(77,100,42)
93  |Purple           |#8700ff  |(135,0,255)     |(71,100,50)
94  |Orange4          |#875f00  |(135,95,0)      |(2,100,26)
95  |LightPink4       |#875f5f  |(135,95,95)     |(0,17,45)
96  |Plum4            |#875f87  |(135,95,135)    |(300,17,45)
97  |MediumPurple3    |#875faf  |(135,95,175)    |(270,33,52)
98  |MediumPurple3    |#875fd7  |(135,95,215)    |(260,60,60)
99  |SlateBlue1       |#875fff  |(135,95,255)    |(255,100,68)
100 |Yellow4          |#878700  |(135,135,0)     |(60,100,26)
101 |Wheat4           |#87875f  |(135,135,95)    |(60,17,45)
102 |Grey53           |#878787  |(135,135,135)   |(0,0,52)
103 |LightSlateGrey   |#8787af  |(135,135,175)   |(240,20,60)
104 |MediumPurple     |#8787d7  |(135,135,215)   |(240,50,68)
105 |LightSlateBlue   |#8787ff  |(135,135,255)   |(240,100,76)
106 |Yellow4          |#87af00  |(135,175,0)     |(3,100,34)
107 |DarkOliveGreen3  |#87af5f  |(135,175,95)    |(90,33,52)
108 |DarkSeaGreen     |#87af87  |(135,175,135)   |(120,20,60)
109 |LightSkyBlue3    |#87afaf  |(135,175,175)   |(180,20,60)
110 |LightSkyBlue3    |#87afd7  |(135,175,215)   |(210,50,68)
111 |SkyBlue2         |#87afff  |(135,175,255)   |(220,100,76)
112 |Chartreuse2      |#87d700  |(135,215,0)     |(2,100,42)
113 |DarkOliveGreen3  |#87d75f  |(135,215,95)    |(100,60,60)
114 |PaleGreen3       |#87d787  |(135,215,135)   |(120,50,68)
115 |DarkSeaGreen3    |#87d7af  |(135,215,175)   |(150,50,68)
116 |DarkSlateGray3   |#87d7d7  |(135,215,215)   |(180,50,68)
117 |SkyBlue1         |#87d7ff  |(135,215,255)   |(200,100,76)
118 |Chartreuse1      |#87ff00  |(135,255,0)     |(8,100,50)
119 |LightGreen       |#87ff5f  |(135,255,95)    |(105,100,68)
120 |LightGreen       |#87ff87  |(135,255,135)   |(120,100,76)
121 |PaleGreen1       |#87ffaf  |(135,255,175)   |(140,100,76)
122 |Aquamarine1      |#87ffd7  |(135,255,215)   |(160,100,76)
123 |DarkSlateGray1   |#87ffff  |(135,255,255)   |(180,100,76)
124 |Red3             |#af0000  |(175,0,0)       |(0,100,34)
125 |DeepPink4        |#af005f  |(175,0,95)      |(27,100,34)
126 |MediumVioletRed  |#af0087  |(175,0,135)     |(13,100,34)
127 |Magenta3         |#af00af  |(175,0,175)     |(300,100,34)
128 |DarkViolet       |#af00d7  |(175,0,215)     |(88,100,42)
129 |Purple           |#af00ff  |(175,0,255)     |(81,100,50)
130 |DarkOrange3      |#af5f00  |(175,95,0)      |(2,100,34)
131 |IndianRed        |#af5f5f  |(175,95,95)     |(0,33,52)
132 |HotPink3         |#af5f87  |(175,95,135)    |(330,33,52)
133 |MediumOrchid3    |#af5faf  |(175,95,175)    |(300,33,52)
134 |MediumOrchid     |#af5fd7  |(175,95,215)    |(280,60,60)
135 |MediumPurple2    |#af5fff  |(175,95,255)    |(270,100,68)
136 |DarkGoldenrod    |#af8700  |(175,135,0)     |(6,100,34)
137 |LightSalmon3     |#af875f  |(175,135,95)    |(30,33,52)
138 |RosyBrown        |#af8787  |(175,135,135)   |(0,20,60)
139 |Grey63           |#af87af  |(175,135,175)   |(300,20,60)
140 |MediumPurple2    |#af87d7  |(175,135,215)   |(270,50,68)
141 |MediumPurple1    |#af87ff  |(175,135,255)   |(260,100,76)
142 |Gold3            |#afaf00  |(175,175,0)     |(60,100,34)
143 |DarkKhaki        |#afaf5f  |(175,175,95)    |(60,33,52)
144 |NavajoWhite3     |#afaf87  |(175,175,135)   |(60,20,60)
145 |Grey69           |#afafaf  |(175,175,175)   |(0,0,68)
146 |LightSteelBlue3  |#afafd7  |(175,175,215)   |(240,33,76)
147 |LightSteelBlue   |#afafff  |(175,175,255)   |(240,100,84)
148 |Yellow3          |#afd700  |(175,215,0)     |(1,100,42)
149 |DarkOliveGreen3  |#afd75f  |(175,215,95)    |(80,60,60)
150 |DarkSeaGreen3    |#afd787  |(175,215,135)   |(90,50,68)
151 |DarkSeaGreen2    |#afd7af  |(175,215,175)   |(120,33,76)
152 |LightCyan3       |#afd7d7  |(175,215,215)   |(180,33,76)
153 |LightSkyBlue1    |#afd7ff  |(175,215,255)   |(210,100,84)
154 |GreenYellow      |#afff00  |(175,255,0)     |(8,100,50)
155 |DarkOliveGreen2  |#afff5f  |(175,255,95)    |(90,100,68)
